season,player_id,player_name,position,weight,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint
2004,12296,Marko Tomas,SG-PG,198.0,32.0,31.5,11.8,3.23
2004,2757,Beno Udrih,PG,199.0,,,,
2004,2761,Jackson Vroman,PF-C,226.0,29.5,33.5,10.75,3.25
2004,2753,Delonte West,PG-SG,183.0,30.0,35.0,11.2,3.15
2004,2863,Damien Wilkins,SG-SF,222.0,26.5,31.0,11.92,3.15
2004,12292,Mike Williams,SF,197.0,23.5,27.5,11.59,3.42
2004,12293,Nate Williams,PF-SF,240.0,23.5,26.0,12.6,3.35
2004,12294,Rashad Wright,PG,190.0,28.5,32.5,11.15,3.28
2005,101165,Alex Acker,SG,183.0,28.0,32.0,11.67,3.35
2005,101224,Deji Akindele,C-PF,236.4,30.5,32.5,12.58,3.35
2005,200969,Mustafa Al-Sayyad,PF-C,,26.5,30.5,11.56,3.42
2005,12104,Nemanja Aleksandrov,PF-SF,220.6,,,,
2005,101187,Alan Anderson,SG-SF,223.2,26.5,30.5,10.32,3.27
2005,101149,Martynas Andriuskevicius,C-PF,227.8,24.0,27.5,11.94,3.42
2005,101252,Sean Banks,SF,206.4,25.0,31.5,11.74,3.35
2005,101188,Eddie Basden,SG-SF,210.0,33.0,36.5,10.52,3.21
2005,12105,Mike Bell,SF-PF,206.2,33.5,39.5,11.73,3.29
2005,101106,Andrew Bogut,C-PF,250.6,27.5,33.5,12.06,3.51
2005,200793,Dee Brown,PG-SG,179.0,,,,
2005,101198,Will Bynum,PG-SG,188.8,33.0,40.5,11.12,3.0
2005,12106,Marcus Campbell,C,280.4,,,,
2005,101215,Will Conroy,PG,188.6,30.5,36.5,10.51,3.28
2005,12107,Taylor Coppenrath,PF-SF,252.4,24.5,27.0,11.51,3.44
2005,101143,Travis Diener,PG-SG,165.2,24.5,31.0,10.85,3.26
2005,101113,Ike Diogu,PF,255.4,28.0,31.0,11.94,3.45
2005,12108,Daryl Dorsey,PG,160.8,25.0,30.5,11.41,3.24
2005,101145,Monta Ellis,SG-PG,176.6,26.5,31.5,12.13,3.31
2005,101109,Raymond Felton,PG,199.4,29.0,33.5,10.5,3.06
2005,201164,Rudy Fernandez,SG,172.0,26.5,35.5,10.48,3.33
2005,12109,D'Or Fischer,C-PF,242.4,28.0,30.5,12.53,3.5
2005,12110,Eddy Fobbs,C-PF,235.2,29.5,34.0,11.53,3.28
2005,101213,Sharrod Ford,PF,212.8,28.5,37.0,11.92,3.2
2005,101112,Channing Frye,PF-C,243.6,27.5,31.0,11.6,3.38
2005,101184,Deng Gai,PF-C,214.0,31.5,35.5,12.51,3.27
2005,101128,Francisco Garcia,SF-SG,189.6,27.5,31.5,10.63,3.33
2005,12111,John Gilchrist,PG,195.2,30.5,36.5,11.48,3.15
2005,101162,Marcin Gortat,PF-C,225.2,29.5,36.0,11.48,3.33
2005,101121,Joey Graham,SF,216.6,30.0,36.0,10.62,3.05
2005,101122,Danny Granger,,225.4,31.0,34.0,10.84,3.34
2005,101123,Gerald Green,SF,192.0,31.5,39.0,11.2,3.21
2005,101236,Charles Hayes,SF-PF,232.4,30.0,33.0,10.7,3.34
2005,101129,Luther Head,PG-SG,178.8,31.5,38.5,11.12,3.21
2005,101125,Julius Hodge,SG-SF,202.2,24.5,29.0,10.89,3.18
2005,12112,Jared Homan,C-PF,248.2,,,,
2005,101141,Ersan Ilyasova,SF,208.8,22.0,30.0,11.59,3.56
2005,101127,Jarrett Jack,PG,197.6,26.0,28.5,10.87,3.24
2005,101204,Dwayne Jones,C-PF,242.2,28.0,31.5,11.87,3.25
2005,12113,Mindaugas Katelynas,SF-PF,217.0,31.5,35.0,11.6,3.38
2005,201318,Jason Klotz,C-PF,249.4,21.5,27.0,13.13,3.68
2005,-1,Carl Krauser,PG-SG,193.4,26.0,31.0,11.62,3.38
2005,101247,Keith Langford,SG-SF,203.2,32.0,29.5,11.38,3.23
2005,101135,David Lee,PF,229.5,30.5,32.5,10.8,3.19
2005,12114,David Lucas,PF,233.4,,,,
2005,101249,John Lucas III,PG,154.4,29.0,34.0,10.44,3.14
2005,101185,Rawle Marshall,SG-SF,186.6,30.5,37.0,11.64,3.21
2005,101131,Jason Maxiell,PF,257.6,,,,
2005,101118,Sean May,PF,258.8,30.0,33.0,11.04,3.29
2005,101119,Rashad McCants,SG,201.0,32.5,34.5,10.39,3.11
2005,200829,Ivan McFarlin,PF,228.6,26.5,32.0,10.64,3.27
2005,12115,Juan Mendez,PF-SF,231.4,29.0,33.0,11.7,3.24
2005,101223,Aaron Miles,PG,174.6,32.0,37.5,10.69,3.22
2005,12116,Ellis Myles,PF,255.2,26.0,28.5,12.8,3.42
2005,12117,Larry O'Bannon,SG,196.0,31.5,36.5,11.44,3.18
2005,12118,Drago Pasalic,SF-PF,238.8,25.0,30.5,12.12,3.48
2005,101108,Chris Paul,PG,178.0,32.0,38.0,11.09,3.22
2005,200819,Kevin Pittsnogle,PF,259.2,,,,
2005,201225,Carlos Powell,SF-PF,221.8,27.5,34.5,11.54,3.21
2005,101232,Roger Powell,SF,218.6,,,,
2005,101179,Ronnie Price,PG,184.8,31.5,39.0,10.49,3.29
2005,101194,Anthony Roberson,PG,178.8,31.5,37.0,11.17,3.19
2005,201575,Brandon Rush,SG-SF,211.4,32.5,35.0,11.33,3.31
2005,101195,Luke Schenscher,C,241.6,23.5,26.5,12.4,3.47
2005,101134,Wayne Simien,PF,255.8,27.0,27.5,11.05,3.35
2005,12120,Tre Simmons,SG-SF,194.2,27.0,31.5,10.8,3.18
2005,12121,David Simon,C-PF,258.8,28.0,33.0,11.98,3.44
2005,101147,Chris Taft,PF,261.0,28.5,33.0,11.26,3.27
2005,12122,Chris Thomas,PG,176.2,28.5,34.0,10.84,3.33
2005,12119,Omar Thomas,SF-SG,200.0,25.0,29.5,11.11,3.27
2005,101159,Dijon Thompson,SF-SG,195.8,,,,
2005,101142,Ronny Turiaf,PF,237.8,30.5,33.0,11.5,3.23
2005,101111,Charlie Villanueva,PF-SF,236.6,26.0,31.0,10.86,3.3
2005,101124,Hakim Warrick,PF-SF,215.0,33.0,38.0,,3.22
2005,101110,Martell Webster,SF,229.6,28.0,30.5,11.39,3.39
2005,101156,Robert Whaley,PF-C,269.4,28.5,33.5,12.11,3.25
2005,101107,Marvin Williams,PF-SF,228.2,29.5,35.0,11.11,3.17
2005,101114,Deron Williams,PG,202.4,30.0,35.0,10.83,3.25
2005,101214,Jawad Williams,SF,218.0,28.0,34.0,11.39,3.23
2005,101120,Antoine Wright,SF-SG,202.6,26.5,29.5,11.45,3.41
2005,101152,Bracey Wright,SG-PG,186.8,30.0,36.0,11.58,3.27
2007,12204,Mohamed Abukar,SF,210.0,30.5,35.0,11.78,3.37
2007,12205,Mario Boggan,PF,240.0,24.0,26.5,12.18,3.45
2007,12206,Craig Bradshaw,PF,240.0,26.0,28.0,11.88,3.54
2007,201147,Corey Brewer,SF-SG,185.0,30.5,36.5,11.69,3.22
2007,201166,Aaron Brooks,PG,161.0,32.5,39.5,10.57,3.2
2007,201628,Bobby Brown,PG,170.0,32.5,41.0,11.27,3.25
2007,201469,Russell Carter,SG,221.0,33.0,38.5,11.61,3.29
2007,12207,Coleman Collins,PF,236.0,30.0,35.0,11.47,
2007,201144,Mike Conley,PG,175.0,35.5,40.5,11.63,3.09
2007,201161,Daequan Cook,SG,203.0,30.0,34.5,11.12,3.22
2007,12208,Ryvon Covile,C-PF,250.0,25.0,30.5,12.52,3.37
2007,201159,Javaris Crittenton,PG,194.0,32.5,38.0,11.6,3.32
2007,201176,Jermareo Davidson,PF,230.0,27.0,30.0,12.63,3.53
2007,12209,Justin Doellman,PF,205.0,,,,
2007,12210,Zabian Dowdell,PG,191.0,30.0,33.5,11.13,3.29
2007,201162,Jared Dudley,SF,219.0,28.0,32.0,11.32,3.45
2007,201142,Kevin Durant,SF-PF,215.0,26.0,33.5,12.33,3.45
2007,12211,Rashaun Freeman,PF,244.0,28.0,32.0,11.43,3.41
2007,201189,Aaron Gray,C,271.0,27.0,32.5,12.07,3.7
2007,12212,Caleb Green,PF,238.0,28.5,36.0,11.72,3.46
2007,201145,Jeff Green,SF,228.0,33.5,38.0,12.0,3.34
2007,201192,Taurean Green,PG,173.0,29.0,32.5,11.3,3.26
2007,201150,Spencer Hawes,PF,244.0,26.0,29.0,11.88,3.51
2007,12214,Brandon Heath,PG,181.0,32.0,36.0,11.39,3.28
2007,201195,Herbert Hill,C,232.0,30.5,34.0,12.31,3.39
2007,201143,Al Horford,PF,246.0,31.0,35.5,12.15,3.37
2007,12215,Quinton Hosley,SF-SG,215.0,28.5,34.0,12.47,3.32
2007,12216,James Hughes,C,209.0,31.0,33.0,13.31,3.37
2007,12217,Jeremy Hunt,SG,198.0,30.5,33.0,12.11,3.29
2007,12218,Ekene Ibekwe,PF,208.0,34.5,39.0,11.0,3.28
2007,12219,Dominic James,PG,175.0,33.5,38.5,10.94,3.11
2007,201234,Trey Johnson,SG,216.0,26.5,35.0,11.78,3.31
2007,12220,Rashad Jones-Jennings,PF,235.0,25.0,30.0,12.18,3.29
2007,201185,Jared Jordan,PG,183.0,24.5,28.5,11.02,3.39
2007,201207,Coby Karl,SG-PG,204.0,32.0,34.5,11.57,3.41
2007,12221,Antanas Kavaliauskas,PF,237.0,25.5,30.0,11.19,3.42
2007,201171,Carl Landry,PF,248.0,31.5,36.5,11.35,3.29
2007,201186,Stephane Lasme,PF,213.0,29.5,36.0,11.73,3.22
2007,201151,Acie Law,PG,186.0,29.0,34.0,11.0,3.22
2007,12222,Marko Lekic,C,267.0,24.0,30.5,11.96,3.43
2007,12223,Ron Lewis,SG,194.0,33.0,38.0,11.59,3.22
2007,201858,Cartier Martin,SF,218.0,27.0,29.5,12.1,3.43
2007,201187,Dominic McGuire,SF,220.0,28.5,34.5,10.95,3.25
2007,201177,Josh McRoberts,PF,240.0,27.5,31.5,11.7,3.47
2007,201197,Sammy Mejia,SG,218.0,27.0,31.5,11.87,3.49
2007,12224,Brad Newley,SG,201.0,29.5,31.5,11.77,3.29
2007,201193,Demetris Nichols,SF,211.0,28.5,32.5,10.39,3.38
2007,201149,Joakim Noah,PF,223.0,32.5,37.5,11.79,3.47
2007,201141,Greg Oden,C,257.0,32.0,34.0,11.67,3.27
2007,12225,Ivan Radenovic,PF,226.0,23.0,28.0,11.61,3.6
